#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    34.6300	     0.8661	  1029.0082	   108.4988	  1137.5070	   850.0300	   850.0300	   830.0100	   391.0900	     3.9970	     0.6000	   698.1000	 regenerative cooling, opposite flow	 
    1.3600	    34.6300	     0.8639	  1016.6129	   147.1319	  1163.7448	   861.3500	   861.3500	   841.0700	   390.4800	     3.9970	     0.6000	   698.8000	 regenerative cooling, opposite flow	 
    2.7200	    34.6300	     0.8621	  1007.3350	   176.5629	  1183.8979	   869.7000	   869.7000	   849.0600	   389.8600	     3.9970	     0.6000	   699.5100	 regenerative cooling, opposite flow	 
    4.0800	    34.6300	     0.8609	  1000.0722	   197.8498	  1197.9220	   876.4300	   876.4300	   855.7000	   389.2400	     3.9970	     0.6000	   700.2300	 regenerative cooling, opposite flow	 
    5.4400	    34.6300	     0.8600	   995.3944	   210.3154	  1205.7098	   880.7500	   880.7500	   859.9400	   388.6000	     3.9970	     0.6000	   700.9600	 regenerative cooling, opposite flow	 
    6.8100	    34.6300	     0.8597	   993.3568	   214.2878	  1207.6445	   882.6900	   882.6900	   861.9200	   387.9700	     3.9970	     0.6000	   701.6900	 regenerative cooling, opposite flow	 
    8.1700	    34.6300	     0.8597	   992.5666	   214.5580	  1207.1246	   883.5500	   883.5500	   862.9300	   387.3300	     3.9970	     0.6000	   702.4300	 regenerative cooling, opposite flow	 
    9.5300	    34.6300	     0.8595	   991.7362	   214.0654	  1205.8015	   884.2600	   884.2600	   863.6200	   386.6800	     3.9970	     0.6000	   703.1600	 regenerative cooling, opposite flow	 
   10.8900	    34.6300	     0.8593	   990.8200	   213.9924	  1204.8124	   885.0800	   885.0800	   864.4400	   386.0400	     3.9970	     0.6000	   703.9000	 regenerative cooling, opposite flow	 
   12.2500	    34.6300	     0.8593	   990.0547	   214.3518	  1204.4065	   885.9500	   885.9500	   865.4800	   385.4000	     3.9970	     0.6000	   704.6400	 regenerative cooling, opposite flow	 
   13.6100	    34.6300	     0.8591	   989.1775	   214.0431	  1203.2206	   886.7100	   886.7100	   866.2000	   384.7500	     3.9970	     0.6000	   705.3800	 regenerative cooling, opposite flow	 
   14.9700	    34.6300	     0.8590	   988.4030	   214.2220	  1202.6250	   887.5300	   887.5300	   867.1500	   384.1000	     3.9970	     0.6000	   706.1300	 regenerative cooling, opposite flow	 
   16.3300	    34.6300	     0.8589	   987.5773	   214.0584	  1201.6357	   888.3000	   888.3000	   867.9400	   383.4600	     3.9970	     0.5900	   706.8700	 regenerative cooling, opposite flow	 
   17.6900	    34.6300	     0.8587	   986.8070	   213.7329	  1200.5399	   889.0100	   889.0100	   868.6800	   382.8100	     3.9970	     0.5900	   707.6200	 regenerative cooling, opposite flow	 
   19.0600	    34.6300	     0.8586	   985.9244	   213.8135	  1199.7379	   889.8400	   889.8400	   869.5300	   382.1500	     3.9970	     0.5900	   708.3700	 regenerative cooling, opposite flow	 
   20.4200	    34.6300	     0.8585	   985.1828	   213.7802	  1198.9631	   890.6000	   890.6000	   870.3900	   381.5000	     3.9970	     0.5900	   709.1200	 regenerative cooling, opposite flow	 
   21.7800	    34.6300	     0.8584	   984.3508	   213.5542	  1197.9051	   891.3400	   891.3400	   871.1200	   380.8500	     3.9970	     0.5900	   709.8700	 regenerative cooling, opposite flow	 
   23.8600	    34.6100	     0.8593	   984.1071	   214.3680	  1198.4750	   892.8600	   892.8600	   872.7500	   379.8400	     3.9970	     0.5900	   711.0200	 regenerative cooling, opposite flow	 
   25.9500	    34.5400	     0.8625	   986.7653	   213.3273	  1200.0926	   894.0900	   894.0900	   874.0300	   378.8300	     3.9970	     0.5900	   712.1800	 regenerative cooling, opposite flow	 
   28.0300	    34.4200	     0.8678	   991.3367	   213.1739	  1204.5106	   895.8300	   895.8300	   875.6700	   377.8200	     3.9970	     0.5900	   713.3500	 regenerative cooling, opposite flow	 
   30.1200	    34.2500	     0.8756	   998.3659	   213.7970	  1212.1629	   897.9300	   897.9300	   877.8300	   376.8000	     3.9970	     0.6000	   714.5200	 regenerative cooling, opposite flow	 
   32.2000	    34.0300	     0.8859	  1008.0571	   213.8020	  1221.8591	   900.2500	   900.2500	   879.9900	   375.7700	     3.9970	     0.6000	   715.7000	 regenerative cooling, opposite flow	 
   34.2800	    33.7600	     0.8987	  1020.8093	   212.3029	  1233.1123	   902.2900	   902.2900	   881.9100	   374.7300	     3.9970	     0.6000	   716.9000	 regenerative cooling, opposite flow	 
   36.3700	    33.4500	     0.9140	  1035.4937	   213.3787	  1248.8724	   905.2000	   905.2000	   884.7300	   373.6800	     3.9970	     0.6100	   718.1000	 regenerative cooling, opposite flow	 
   38.4500	    33.0800	     0.9323	  1053.7897	   211.0832	  1264.8729	   907.7600	   907.7600	   886.9900	   372.6200	     3.9970	     0.6200	   719.2800	 regenerative cooling, opposite flow	 
   40.5400	    32.6700	     0.9544	  1074.9463	   210.8466	  1285.7930	   911.7800	   911.7800	   890.7700	   371.5500	     3.9970	     0.6200	   720.4000	 regenerative cooling, opposite flow	 
   42.6200	    32.2000	     0.9796	  1099.2294	   210.9711	  1310.2005	   915.9700	   915.9700	   894.7600	   370.4600	     3.9970	     0.6300	   721.5300	 regenerative cooling, opposite flow	 
   44.7100	    31.6800	     1.0081	  1126.8153	   211.2306	  1338.0458	   920.4000	   920.4000	   898.8000	   369.3500	     3.9970	     0.6400	   722.6800	 regenerative cooling, opposite flow	 
   46.7900	    31.1000	     1.0433	  1160.8919	   210.3913	  1371.2831	   925.3800	   925.3800	   903.4900	   368.2300	     3.9970	     0.6600	   723.8500	 regenerative cooling, opposite flow	 
   48.8800	    30.4800	     1.0821	  1198.9321	   208.6914	  1407.6235	   930.1100	   930.1100	   907.7300	   367.0800	     3.9970	     0.6700	   725.0400	 regenerative cooling, opposite flow	 
   50.9600	    29.7900	     1.1276	  1242.6558	   209.1606	  1451.8164	   936.0800	   936.0800	   913.1000	   365.9200	     3.9970	     0.6900	   726.2500	 regenerative cooling, opposite flow	 
   53.0400	    29.0600	     1.1803	  1293.3638	   209.1333	  1502.4971	   942.3400	   942.3400	   918.7500	   364.7200	     3.9970	     0.7100	   727.4900	 regenerative cooling, opposite flow	 
   55.1300	    28.2600	     1.2414	  1352.4401	   207.3609	  1559.8010	   948.6700	   948.6700	   924.3400	   363.5000	     3.9970	     0.7300	   728.7600	 regenerative cooling, opposite flow	 
   57.2100	    27.4000	     1.3127	  1420.1267	   208.0500	  1628.1768	   956.2200	   956.2200	   931.0000	   362.2500	     3.9970	     0.7600	   730.0600	 regenerative cooling, opposite flow	 
   59.3000	    26.4800	     1.3973	  1500.7147	   205.9966	  1706.7112	   964.0600	   964.0600	   937.7700	   360.9600	     3.9970	     0.7900	   731.4100	 regenerative cooling, opposite flow	 
   61.3800	    25.5000	     1.4961	  1593.7598	   205.7093	  1799.4691	   972.7700	   972.7700	   945.2600	   359.6300	     3.9970	     0.8200	   732.7900	 regenerative cooling, opposite flow	 
   63.4700	    24.4500	     1.6139	  1703.9604	   204.5995	  1908.5599	   982.2300	   982.2300	   953.1500	   358.2500	     3.9970	     0.8600	   734.2200	 regenerative cooling, opposite flow	 
   65.5500	    23.3300	     1.7571	  1836.4974	   203.0664	  2039.5638	   992.8600	   992.8600	   961.8800	   356.8200	     3.9970	     0.9100	   735.7100	 regenerative cooling, opposite flow	 
