#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	   137.7300	     0.0000	     0.0000	    88.6882	    88.6882	   477.5700	   477.5700	   474.9800	   380.3200	     3.9850	     0.9200	   710.4500	 regenerative cooling, opposite flow; film coolant injection	 
    3.6100	   137.7300	     0.0000	     0.0000	   119.3751	   119.3751	   510.7100	   510.7100	   507.6400	   379.9400	     3.9850	     0.9200	   710.9000	 regenerative cooling, opposite flow	 
    7.2300	   137.7300	     0.0218	    37.5268	   114.6369	   152.1637	   545.0100	   545.0100	   542.7000	   379.4300	     3.9850	     0.9200	   711.4800	 regenerative cooling, opposite flow	 
   10.8400	   137.7300	     0.0227	    38.5891	   126.8140	   165.4031	   559.6600	   559.6600	   556.9300	   378.8400	     3.9850	     0.9200	   712.1600	 regenerative cooling, opposite flow	 
   14.4600	   137.7300	     0.0260	    44.1000	   130.1796	   174.2796	   569.3600	   569.3600	   566.5500	   378.2100	     3.9850	     0.9200	   712.8800	 regenerative cooling, opposite flow	 
   18.0700	   137.7300	     0.0285	    48.2827	   125.8290	   174.1116	   569.6700	   569.6700	   566.4300	   377.5500	     3.9850	     0.9200	   713.6300	 regenerative cooling, opposite flow	 
   21.6900	   137.7300	     0.0299	    50.7869	   118.9189	   169.7058	   565.1400	   565.1400	   561.6800	   376.9100	     3.9850	     0.9200	   714.3800	 regenerative cooling, opposite flow	 
   25.3000	   137.7300	     0.0308	    52.4252	   113.1658	   165.5910	   560.6300	   560.6300	   557.2200	   376.2800	     3.9850	     0.9200	   715.1000	 regenerative cooling, opposite flow	 
   28.9100	   137.7300	     0.0314	    53.5840	   108.8995	   162.4835	   557.1100	   557.1100	   553.8300	   375.6600	     3.9850	     0.9200	   715.8100	 regenerative cooling, opposite flow	 
   32.5300	   137.7300	     0.0318	    54.3866	   105.9891	   160.3758	   554.6500	   554.6500	   551.5200	   375.0500	     3.9850	     0.9200	   716.5200	 regenerative cooling, opposite flow	 
   36.1400	   137.7300	     0.0321	    54.8915	   104.1088	   159.0003	   553.0900	   553.0900	   549.9900	   374.4400	     3.9850	     0.9100	   717.2100	 regenerative cooling, opposite flow	 
   39.7600	   137.7300	     0.0323	    55.1900	   103.2049	   158.3949	   552.2600	   552.2600	   549.3100	   373.8400	     3.9850	     0.9100	   717.9100	 regenerative cooling, opposite flow	 
   43.3700	   137.7300	     0.0325	    55.5846	   102.5950	   158.1796	   552.0000	   552.0000	   549.0500	   373.2300	     3.9850	     0.9100	   718.6000	 regenerative cooling, opposite flow	 
   46.9900	   137.7300	     0.0326	    55.7990	   102.3882	   158.1872	   552.0400	   552.0400	   549.1700	   372.6300	     3.9850	     0.9100	   719.2600	 regenerative cooling, opposite flow	 
   50.6000	   137.7300	     0.0327	    55.8834	   102.1976	   158.0811	   552.1200	   552.1200	   549.2300	   372.0200	     3.9850	     0.9100	   719.8900	 regenerative cooling, opposite flow	 
   54.2100	   137.7300	     0.0327	    55.9122	   102.2410	   158.1533	   552.3100	   552.3100	   549.4800	   371.4100	     3.9850	     0.9100	   720.5200	 regenerative cooling, opposite flow	 
   57.8300	   137.7300	     0.0327	    55.9050	   102.1313	   158.0363	   552.4300	   552.4300	   549.5200	   370.8000	     3.9850	     0.9100	   721.1500	 regenerative cooling, opposite flow	 
   64.5600	   137.6700	     0.0327	    55.9032	   102.1058	   158.0090	   552.5700	   552.5700	   549.7100	   369.6600	     3.9850	     0.9100	   722.3400	 regenerative cooling, opposite flow	 
   71.2900	   137.4800	     0.0328	    56.1959	   101.1175	   157.3134	   551.7900	   551.7900	   548.9100	   368.5200	     3.9860	     0.9100	   723.5300	 regenerative cooling, opposite flow	 
   78.0300	   137.1700	     0.0330	    56.4186	   101.4022	   157.8208	   552.0700	   552.0700	   549.2600	   367.3700	     3.9860	     0.9100	   724.7200	 regenerative cooling, opposite flow	 
   84.7600	   136.7200	     0.0332	    56.7263	   101.6753	   158.4016	   552.3300	   552.3300	   549.4900	   366.2200	     3.9860	     0.9100	   725.9200	 regenerative cooling, opposite flow	 
   91.4900	   136.1500	     0.0334	    57.1392	   102.0429	   159.1821	   552.5800	   552.5800	   549.7200	   365.0600	     3.9860	     0.9100	   727.1300	 regenerative cooling, opposite flow	 
   98.2300	   135.4600	     0.0338	    57.8211	   101.3370	   159.1581	   551.6400	   551.6400	   548.7800	   363.8900	     3.9860	     0.9200	   728.3400	 regenerative cooling, opposite flow	 
  104.9600	   134.6300	     0.0342	    58.5695	   101.1392	   159.7087	   551.0800	   551.0800	   548.2700	   362.7200	     3.9860	     0.9200	   729.5600	 regenerative cooling, opposite flow	 
  111.6900	   133.6800	     0.0347	    59.3181	   101.7643	   161.0824	   551.3100	   551.3100	   548.4600	   361.5400	     3.9860	     0.9300	   730.7900	 regenerative cooling, opposite flow	 
  118.4300	   132.5900	     0.0352	    60.2998	   101.6140	   161.9137	   550.6200	   550.6200	   547.7500	   360.3500	     3.9860	     0.9400	   732.0200	 regenerative cooling, opposite flow	 
  125.1600	   131.3800	     0.0359	    61.5100	   101.0938	   162.6038	   549.4800	   549.4800	   546.6100	   359.1600	     3.9860	     0.9400	   733.2600	 regenerative cooling, opposite flow	 
  131.8900	   130.0300	     0.0367	    62.8170	   101.2614	   164.0784	   548.9200	   548.9200	   546.0800	   357.9600	     3.9860	     0.9500	   734.5100	 regenerative cooling, opposite flow	 
  138.6300	   128.5400	     0.0375	    64.2112	   101.7068	   165.9180	   548.6000	   548.6000	   545.6500	   356.7500	     3.9860	     0.9700	   735.7700	 regenerative cooling, opposite flow	 
  145.3600	   126.9200	     0.0384	    65.9141	   101.3960	   167.3102	   547.2700	   547.2700	   544.3900	   355.5300	     3.9860	     0.9800	   737.0400	 regenerative cooling, opposite flow	 
  152.0900	   125.1600	     0.0395	    67.8094	   101.3904	   169.1999	   546.3000	   546.3000	   543.3400	   354.3100	     3.9860	     0.9900	   738.3100	 regenerative cooling, opposite flow	 
  158.8300	   123.2600	     0.0407	    69.8685	   102.0285	   171.8970	   545.8400	   545.8400	   542.8000	   353.0700	     3.9860	     1.0100	   739.6000	 regenerative cooling, opposite flow	 
  165.5600	   121.2200	     0.0420	    72.1883	   102.0990	   174.2873	   545.0000	   545.0000	   542.0100	   351.8200	     3.9860	     1.0300	   740.8000	 regenerative cooling, opposite flow	 
  172.2900	   119.0300	     0.0435	    74.8273	   101.9659	   176.7931	   543.9700	   543.9700	   540.9100	   350.5600	     3.9860	     1.0500	   742.0000	 regenerative cooling, opposite flow	 
  179.0300	   116.7000	     0.0453	    77.9261	   101.6054	   179.5315	   542.6400	   542.6400	   539.5800	   349.2900	     3.9860	     1.0700	   743.2100	 regenerative cooling, opposite flow	 
  185.7600	   114.2100	     0.0472	    81.2483	   101.5983	   182.8466	   541.4300	   541.4300	   538.3200	   348.0000	     3.9860	     1.1000	   744.4300	 regenerative cooling, opposite flow	 
  192.4900	   111.5700	     0.0494	    85.1434	   101.6571	   186.8005	   540.2800	   540.2800	   537.1200	   346.7100	     3.9860	     1.1200	   745.6600	 regenerative cooling, opposite flow	 
  199.2300	   108.7800	     0.0519	    89.4980	   101.5835	   191.0815	   538.8400	   538.8400	   535.5800	   345.4000	     3.9860	     1.1600	   746.9100	 regenerative cooling, opposite flow	 
  205.9600	   105.8200	     0.0548	    94.4333	   102.4438	   196.8771	   538.0400	   538.0400	   534.7900	   344.0700	     3.9860	     1.1900	   748.1800	 regenerative cooling, opposite flow	 
