#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    34.6100	     0.0000	     0.0000	   158.0630	   158.0630	   436.0500	   436.0500	   432.1800	   353.9900	     3.9970	     0.5500	   738.6600	 regenerative cooling, opposite flow; film coolant injection	 
    1.3600	    34.6100	     0.0000	     0.0000	   212.7810	   212.7810	   463.7900	   463.7900	   459.2000	   353.8700	     3.9970	     0.5500	   738.7800	 regenerative cooling, opposite flow	 
    2.7200	    34.6100	     0.0000	     0.0000	   254.7345	   254.7345	   485.0900	   485.0900	   479.9300	   353.7200	     3.9970	     0.5500	   738.9400	 regenerative cooling, opposite flow	 
    4.0900	    34.6100	     0.0000	     0.0000	   284.4480	   284.4480	   500.2000	   500.2000	   494.6100	   353.5500	     3.9970	     0.5500	   739.1200	 regenerative cooling, opposite flow	 
    5.4500	    34.6100	     0.0000	     0.0000	   302.0895	   302.0895	   509.1300	   509.1300	   503.3300	   353.3600	     3.9970	     0.5500	   739.3100	 regenerative cooling, opposite flow	 
    6.8100	    34.6100	     0.0000	     0.0000	   308.0234	   308.0234	   512.1300	   512.1300	   506.2400	   353.1700	     3.9970	     0.5500	   739.5200	 regenerative cooling, opposite flow	 
    8.1700	    34.6100	     0.0000	     0.0000	   308.2509	   308.2509	   512.1600	   512.1600	   506.3400	   352.9700	     3.9970	     0.5500	   739.7200	 regenerative cooling, opposite flow	 
    9.5400	    34.6100	     0.0000	     0.0000	   307.9711	   307.9711	   512.1200	   512.1200	   506.2300	   352.7700	     3.9970	     0.5500	   739.9100	 regenerative cooling, opposite flow	 
   10.9000	    34.6100	     0.0000	     0.0000	   308.2559	   308.2559	   512.2000	   512.2000	   506.4100	   352.5700	     3.9970	     0.5500	   740.1000	 regenerative cooling, opposite flow	 
   12.2600	    34.6100	     0.0000	     0.0000	   308.0128	   308.0128	   512.2300	   512.2300	   506.3200	   352.3700	     3.9970	     0.5500	   740.2800	 regenerative cooling, opposite flow	 
   13.6200	    34.6100	     0.2240	   360.8166	   237.7075	   598.5240	   660.8200	   660.8200	   651.8900	   352.0800	     3.9970	     0.5500	   740.5600	 regenerative cooling, opposite flow	 
   14.9900	    34.6100	     0.2387	   382.0740	   234.2322	   616.3062	   670.5300	   670.5300	   661.3100	   351.6900	     3.9970	     0.5500	   740.9300	 regenerative cooling, opposite flow	 
   16.3500	    34.6100	     0.2649	   420.1248	   224.4391	   644.5639	   685.7600	   685.7600	   676.0900	   351.2900	     3.9970	     0.5500	   741.3200	 regenerative cooling, opposite flow	 
   17.7100	    34.6100	     0.2814	   444.3267	   212.2718	   656.5985	   692.5600	   692.5600	   682.7700	   350.8700	     3.9970	     0.5500	   741.7200	 regenerative cooling, opposite flow	 
   19.0700	    34.6100	     0.2900	   457.4596	   200.9512	   658.4108	   694.2300	   694.2300	   684.3100	   350.4400	     3.9970	     0.5500	   742.1300	 regenerative cooling, opposite flow	 
   20.4400	    34.6100	     0.2952	   465.5852	   192.2019	   657.7871	   694.5300	   694.5300	   684.6100	   350.0100	     3.9970	     0.5500	   742.5300	 regenerative cooling, opposite flow	 
   21.8000	    34.6100	     0.2986	   470.8513	   186.0750	   656.9263	   694.6400	   694.6400	   684.7900	   349.5900	     3.9970	     0.5400	   742.9400	 regenerative cooling, opposite flow	 
   23.8800	    34.5900	     0.3019	   475.9436	   180.5014	   656.4450	   695.0300	   695.0300	   685.2100	   348.9300	     3.9970	     0.5400	   743.5600	 regenerative cooling, opposite flow	 
   25.9700	    34.5200	     0.3072	   483.7952	   175.0671	   658.8623	   696.4400	   696.4400	   686.5700	   348.2800	     3.9970	     0.5500	   744.1900	 regenerative cooling, opposite flow	 
   28.0500	    34.4000	     0.3121	   490.8393	   172.8937	   663.7330	   698.6100	   698.6100	   688.6500	   347.6200	     3.9970	     0.5500	   744.8200	 regenerative cooling, opposite flow	 
   30.1400	    34.2300	     0.3158	   496.2607	   172.4893	   668.7500	   700.2800	   700.2800	   690.2400	   346.9500	     3.9970	     0.5500	   745.4500	 regenerative cooling, opposite flow	 
   32.2200	    34.0100	     0.3196	   501.7332	   172.6233	   674.3565	   701.6200	   701.6200	   691.5300	   346.2800	     3.9970	     0.5500	   746.0900	 regenerative cooling, opposite flow	 
   34.3100	    33.7400	     0.3240	   508.3276	   171.8203	   680.1479	   702.5200	   702.5200	   692.3000	   345.6100	     3.9970	     0.5600	   746.7300	 regenerative cooling, opposite flow	 
   36.3900	    33.4300	     0.3291	   516.0218	   171.9747	   687.9965	   703.7200	   703.7200	   693.4600	   344.9300	     3.9970	     0.5600	   747.3800	 regenerative cooling, opposite flow	 
   38.4700	    33.0600	     0.3352	   525.0883	   172.0190	   697.1072	   705.0600	   705.0600	   694.5500	   344.2400	     3.9970	     0.5700	   748.0300	 regenerative cooling, opposite flow	 
   40.5600	    32.6500	     0.3428	   536.5569	   171.4899	   708.0468	   706.3900	   706.3900	   695.8100	   343.5500	     3.9970	     0.5800	   748.6900	 regenerative cooling, opposite flow	 
   42.6400	    32.1800	     0.3513	   549.2816	   171.6503	   720.9319	   707.9700	   707.9700	   697.2000	   342.8500	     3.9970	     0.5900	   749.3600	 regenerative cooling, opposite flow	 
   44.7300	    31.6600	     0.3610	   563.7875	   171.9024	   735.6899	   709.6400	   709.6400	   698.6000	   342.1400	     3.9970	     0.6000	   750.0400	 regenerative cooling, opposite flow	 
   46.8100	    31.0800	     0.3728	   581.5251	   171.5758	   753.1008	   711.5800	   711.5800	   700.2700	   341.4200	     3.9970	     0.6100	   750.7200	 regenerative cooling, opposite flow	 
   48.9000	    30.4600	     0.3860	   601.3360	   171.3936	   772.7296	   713.4600	   713.4600	   701.8700	   340.6900	     3.9970	     0.6200	   751.4200	 regenerative cooling, opposite flow	 
   50.9800	    29.7700	     0.4013	   624.2295	   171.6623	   795.8918	   715.8000	   715.8000	   703.8400	   339.9500	     3.9970	     0.6400	   752.1300	 regenerative cooling, opposite flow	 
   53.0700	    29.0300	     0.4193	   651.4053	   170.0359	   821.4413	   717.8100	   717.8100	   705.4400	   339.1900	     3.9970	     0.6600	   752.8500	 regenerative cooling, opposite flow	 
   55.1500	    28.2400	     0.4396	   681.7338	   170.9945	   852.7283	   720.7300	   720.7300	   707.9400	   338.4200	     3.9970	     0.6800	   753.5800	 regenerative cooling, opposite flow	 
   57.2400	    27.3800	     0.4636	   717.5280	   170.4367	   887.9648	   723.5400	   723.5400	   710.2000	   337.6300	     3.9980	     0.7000	   754.3300	 regenerative cooling, opposite flow	 
   59.3200	    26.4600	     0.4916	   759.1246	   171.1098	   930.2344	   727.0900	   727.0900	   713.1200	   336.8200	     3.9980	     0.7300	   755.1000	 regenerative cooling, opposite flow	 
   61.4000	    25.4800	     0.5244	   807.9621	   170.8127	   978.7748	   730.5800	   730.5800	   715.8900	   335.9900	     3.9980	     0.7700	   755.9000	 regenerative cooling, opposite flow	 
   63.4900	    24.4300	     0.5633	   865.6769	   171.0884	  1036.7653	   734.6300	   734.6300	   719.0900	   335.1300	     3.9980	     0.8100	   756.7100	 regenerative cooling, opposite flow	 
   65.5700	    23.3100	     0.6106	   935.6722	   169.8688	  1105.5410	   738.9600	   738.9600	   722.3900	   334.2400	     3.9980	     0.8500	   757.5600	 regenerative cooling, opposite flow	 
